TERM_CODE,TERM_DESCRIPTION,CRN,SUBJECT,COURSE_NUMBER,SECTION,SCHEDULE_DESC,TITLE,MAXIMUM_ENROLLMENT,ACTUAL_ENROLLMENT
200610,Fall Semester 2005,2509,CS,101,001,Lecture,Living with Computers,40,39
200610,Fall Semester 2005,2510,CS,101,002,Lecture,Living with Computers,40,37
200610,Fall Semester 2005,2511,CS,101,003,Lab,Living with Computers,20,19
200610,Fall Semester 2005,2512,CS,101,004,Lab,Living with Computers,20,17
200610,Fall Semester 2005,2513,CS,101,005,Lab,Living with Computers,20,20
200610,Fall Semester 2005,2514,CS,101,006,Lab,Living with Computers,20,20
200610,Fall Semester 2005,3349,CS,135,001,Lecture,Select Top in Comp Science,25,16
200610,Fall Semester 2005,2501,CS,144,001,Lecture,Intro to Computer Science,25,14
200610,Fall Semester 2005,2502,CS,144,002,Lab,Intro to Computer Science,25,14
200610,Fall Semester 2005,2491,CS,145,001,Lecture,Intro to Object-Oriented Prog,25,7
200610,Fall Semester 2005,2492,CS,145,002,Lab,Intro to Object-Oriented Prog,25,7
200610,Fall Semester 2005,3422,CS,235,001,Lecture,Select Top in Comp Science,0,0
200610,Fall Semester 2005,2503,CS,245,001,Lecture,Adv Computer Programming,25,2
200610,Fall Semester 2005,2504,CS,245,002,Lab,Adv Computer Programming,25,2
200610,Fall Semester 2005,2499,CS,325,001,Lab,Comp Hardware Inst & Main,15,15
200610,Fall Semester 2005,2500,CS,326,001,Lab,Comp Software Installation,15,14
200610,Fall Semester 2005,2495,CS,341,001,Lecture,Mach Arch & Assem Lang Prog,25,6
200610,Fall Semester 2005,2478,CS,418,001,Lecture,Multimedia Programming,0,0
200610,Fall Semester 2005,2479,CS,418,002,Lab,Multimedia Programming,0,0
200610,Fall Semester 2005,2466,CS,450,001,Lecture,Programming Seminar 2,0,0
200610,Fall Semester 2005,2467,CS,450,002,Lab,Programming Seminar 2,0,0
200610,Fall Semester 2005,2496,CS,451,001,Lecture,Software Engineering,25,5
200610,Fall Semester 2005,2507,CS,456,001,Lecture,Internet Services,0,0
200610,Fall Semester 2005,2508,CS,456,002,Lab,Internet Services,0,0
200610,Fall Semester 2005,2515,CS,457,001,Internet Course,Computer Networks,25,10
200610,Fall Semester 2005,2482,CS,461,001,Lecture,Programming Languages,0,0
200610,Fall Semester 2005,2484,CS,482,001,Lecture,Senior Project Implementation,20,1
200610,Fall Semester 2005,2468,CS,490,001,Ind Study/Research/Thesis/Proj,Independent Study,0,0
200610,Fall Semester 2005,2473,CS,490,002,Ind Study/Research/Thesis/Proj,Independent Study,0,0
200610,Fall Semester 2005,2486,CS,490,003,Ind Study/Research/Thesis/Proj,Independent Study,0,0
200610,Fall Semester 2005,2493,CS,515,001,Lecture,Java Programming,25,2
200610,Fall Semester 2005,2494,CS,515,002,Lab,Java Programming,25,2
200610,Fall Semester 2005,2505,CS,516,001,Lecture,Adv Comp Prg Data Structure,15,2
200610,Fall Semester 2005,2506,CS,516,002,Lab,Adv Comp Prg Data Structure,15,2
200610,Fall Semester 2005,2480,CS,518,001,Lecture,Multimedia Programming,0,0
200610,Fall Semester 2005,2481,CS,518,002,Lab,Multimedia Programming,0,0
200610,Fall Semester 2005,3557,CS,535,001,Lecture,ST:  Computer Science,15,1
200610,Fall Semester 2005,2497,CS,551,001,Lecture,Software Engineering,0,0
200610,Fall Semester 2005,2516,CS,557,001,Internet Course,Computer Networks,25,6
200610,Fall Semester 2005,2483,CS,561,001,Lecture,Programming Languages,0,0
200610,Fall Semester 2005,2469,CS,590,001,Ind Study/Research/Thesis/Proj,Independent Study,5,1
200610,Fall Semester 2005,2474,CS,590,002,Ind Study/Research/Thesis/Proj,Independent Study,0,0
200610,Fall Semester 2005,2487,CS,590,003,Ind Study/Research/Thesis/Proj,Independent Study,0,0
200610,Fall Semester 2005,2470,CS,592,001,Ind Study/Research/Thesis/Proj,Independent Research,0,0
200610,Fall Semester 2005,2475,CS,592,002,Ind Study/Research/Thesis/Proj,Independent Research,0,0
200610,Fall Semester 2005,2488,CS,592,003,Ind Study/Research/Thesis/Proj,Independent Research,0,0
200610,Fall Semester 2005,2485,CS,600,001,Lecture,Prin Media Arts & Comp Sci,20,2
200610,Fall Semester 2005,2498,CS,620,001,Lecture,Multimedia Project Development,20,4
200610,Fall Semester 2005,2471,CS,697,001,Ind Study/Research/Thesis/Proj,Field Project,0,0
200610,Fall Semester 2005,2476,CS,697,002,Ind Study/Research/Thesis/Proj,Field Project,0,0
200610,Fall Semester 2005,2489,CS,697,003,Ind Study/Research/Thesis/Proj,Field Project,0,0
200610,Fall Semester 2005,2472,CS,699,001,Ind Study/Research/Thesis/Proj,Thesis,5,2
200610,Fall Semester 2005,2477,CS,699,002,Ind Study/Research/Thesis/Proj,Thesis,5,1
200610,Fall Semester 2005,2490,CS,699,003,Ind Study/Research/Thesis/Proj,Thesis,0,0
200620,Spring Semester 2006,3402,CS,101,001,Lecture,Living with Computers,40,40
200620,Spring Semester 2006,3403,CS,101,002,Lecture,Living with Computers,40,37
200620,Spring Semester 2006,3404,CS,101,003,Lab,Living with Computers,20,20
200620,Spring Semester 2006,3405,CS,101,004,Lab,Living with Computers,20,21
200620,Spring Semester 2006,3406,CS,101,005,Lab,Living with Computers,20,13
200620,Spring Semester 2006,3407,CS,101,006,Lab,Living with Computers,20,23
200620,Spring Semester 2006,3458,CS,135,001,Lecture,Select Top in Comp Science,25,4
200620,Spring Semester 2006,3408,CS,144,001,Lecture,Intro to Computer Science,30,9
200620,Spring Semester 2006,3409,CS,144,002,Lab,Intro to Computer Science,30,9
200620,Spring Semester 2006,3410,CS,145,001,Lab,Intro to Object-Oriented Prog,30,11
200620,Spring Semester 2006,3418,CS,145,002,Lecture,Intro to Object-Oriented Prog,30,11
200620,Spring Semester 2006,3411,CS,245,001,Lab,Adv Computer Programming,30,2
200620,Spring Semester 2006,3419,CS,245,002,Lecture,Adv Computer Programming,30,2
200620,Spring Semester 2006,3412,CS,325,001,Lab,Comp Hardware Inst & Main,15,4
200620,Spring Semester 2006,3413,CS,327,001,Lecture,Hands on UNIX,25,6
200620,Spring Semester 2006,3864,CS,328,001,Internet Course,C and Unix,20,6
200620,Spring Semester 2006,4551,CS,335,001,Lecture,Select Top in Comp Science,3,3
200620,Spring Semester 2006,4556,CS,335,002,Lecture,Select Top in Comp Science,20,8
200620,Spring Semester 2006,3423,CS,345,001,Lecture,Data & File Structures,0,0
200620,Spring Semester 2006,3424,CS,345,002,Lab,Data & File Structures,0,0
200620,Spring Semester 2006,3414,CS,350,001,Lecture,Programming Seminar 1,25,3
200620,Spring Semester 2006,3415,CS,350,002,Lab,Programming Seminar 1,25,3
200620,Spring Semester 2006,4111,CS,380,001,Lecture,Computer Modeling & Simulation,25,8
200620,Spring Semester 2006,3425,CS,421,001,Lecture,Adv Data Struct & Alg Dev,30,2
200620,Spring Semester 2006,4354,CS,421,002,Interactive TV,Adv Data Struct & Alg Dev,30,0
200620,Spring Semester 2006,3427,CS,443,001,Lecture,Operating Systems,30,9
200620,Spring Semester 2006,4356,CS,443,002,Interactive TV,Operating Systems,30,1
200620,Spring Semester 2006,3430,CS,481,001,Lecture,Senior Project Design,15,3
200620,Spring Semester 2006,3429,CS,482,001,Lecture,Senior Project Implementation,15,4
200620,Spring Semester 2006,3431,CS,490,001,Ind Study/Research/Thesis/Proj,Independent Study,5,0
200620,Spring Semester 2006,3436,CS,490,002,Ind Study/Research/Thesis/Proj,Independent Study,5,1
200620,Spring Semester 2006,4348,CS,515,001,Lecture,Java Programming,10,1
200620,Spring Semester 2006,4349,CS,515,002,Lab,Java Programming,10,1
